Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Distribution Channel,User Language,Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,"In order to continue to the experiment, you must consent to take part in the project",What is your first language?,What is your gender (optional)?,What is your age?,"Before you start, please confirm that you will be able to do the experiment in a quiet place without distractions, that you are holding your device in landscape (horizontal mode) if it is a mobile device, and that you can use both hands to respond. Please select both of the responses below to indicate that you are ready to start the experiment:",PROLIFIC_PID,STUDY_ID
10/08/2020 16:57,10/08/2020 16:58,IP Address,100,80,TRUE,10/08/2020 16:58,R_2QW0QXLq6vXhmfq,,anonymous,EN-GB,Firefox,79,Windows NT 10.0,1920x1080,I consent to take part in the project on the basis set out above (Section A),English,Male,30,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5c1d232074ad0b0001531eea,5f31291acb8aea5c9dee6dcf
10/08/2020 17:45,10/08/2020 17:45,IP Address,100,49,TRUE,10/08/2020 17:45,R_3ptpCFDZCyzidEc,,anonymous,EN-GB,Chrome,84.0.4147.105,Macintosh,1280x800,I consent to take part in the project on the basis set out above (Section A),English,Male,28,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5d1f680b4a21e00001818cf2,5f31291acb8aea5c9dee6dcf
10/08/2020 17:44,10/08/2020 17:46,IP Address,100,76,TRUE,10/08/2020 17:46,R_25Mimx0oTrLffEw,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1536x864,I consent to take part in the project on the basis set out above (Section A),English,Female,20,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e3d8f6b6b1c15033ce417f4,5f31291acb8aea5c9dee6dcf
10/08/2020 17:44,10/08/2020 17:46,IP Address,100,105,TRUE,10/08/2020 17:46,R_1Gwtz9vYz2pRxYu,,anonymous,EN-GB,Firefox,79,Windows NT 10.0,1536x864,I consent to take part in the project on the basis set out above (Section A),English,Male,33,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ef6a216cf5fa438db69c355,5f31291acb8aea5c9dee6dcf
10/08/2020 17:44,10/08/2020 17:46,IP Address,100,108,TRUE,10/08/2020 17:46,R_1k0NGmgihEJ6ZBz,,anonymous,EN-GB,Opera,68.0.3618.206,Windows NT 10.0,1920x1080,I consent to take part in the project on the basis set out above (Section A),English,Male,21,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e875f10bde8373bdc2eac32,5f31291acb8aea5c9dee6dcf
10/08/2020 17:44,10/08/2020 17:46,IP Address,100,110,TRUE,10/08/2020 17:46,R_YPo0a5mr3brArvj,,anonymous,EN-GB,Chrome,79.0.3945.136,Android 10,412x846,I consent to take part in the project on the basis set out above (Section A),English,Female,68,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5e2322100e12225cf287f0a4,5f31291acb8aea5c9dee6dcf
10/08/2020 17:45,10/08/2020 17:46,IP Address,100,103,TRUE,10/08/2020 17:46,R_1Q5T5cBXpvtzKT9,,anonymous,EN-GB,Chrome,79.0.3945.136,Android 10,360x800,I consent to take part in the project on the basis set out above (Section A),English,Male,32,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5d78986d4531b9001508752d,5f31291acb8aea5c9dee6dcf
10/08/2020 17:45,10/08/2020 17:46,IP Address,100,84,TRUE,10/08/2020 17:46,R_3gArklBLH5yagEh,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1536x864,I consent to take part in the project on the basis set out above (Section A),English,Female,19,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ebf22d18258381b86086132,5f31291acb8aea5c9dee6dcf
10/08/2020 17:45,10/08/2020 17:47,IP Address,100,97,TRUE,10/08/2020 17:47,R_2ZZXqHuF0irgwat,,anonymous,EN-GB,Chrome,83.0.4103.61,Macintosh,1440x900,I consent to take part in the project on the basis set out above (Section A),English,Male,38,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ee561897247c02ad544c299,5f31291acb8aea5c9dee6dcf
10/08/2020 17:46,10/08/2020 17:48,IP Address,100,139,TRUE,10/08/2020 17:48,R_T4JZgSHdihKsAFj,,anonymous,EN-GB,Chrome,84.0.4147.105,Windows NT 10.0,1920x1080,I consent to take part in the project on the basis set out above (Section A),English,Male,37,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5755c957eb80c4000741a9ce,5f31291acb8aea5c9dee6dcf
10/08/2020 17:45,10/08/2020 17:48,IP Address,100,192,TRUE,10/08/2020 17:48,R_1C749t8K1vMzFlA,,anonymous,EN-GB,Firefox,79,Windows NT 10.0,1366x768,I consent to take part in the project on the basis set out above (Section A),English,Male,40,"I am in a quiet place without distractions, and I am either on a PC or laptop or on a mobile device that I am holding in landscape mode. I can use both hands to respond.,I do not have any more questions about the experiment.",5ef89381b14cb50009b994db,5f31291acb8aea5c9dee6dcf
